,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For,Goals Against,+/-
1,Boston Bruins,1990,44,24,0,0.55,299,264,35
2,Buffalo Sabres,1990,31,30,0,0.388,292,278,14
3,Calgary Flames,1990,46,26,0,0.575,344,263,81
4,Chicago Blackhawks,1990,49,23,0,0.613,284,211,73
5,Detroit Red Wings,1990,34,38,0,0.425,273,298,-25
6,Edmonton Oilers,1990,37,37,0,0.463,272,272,0
7,Hartford Whalers,1990,31,38,0,0.388,238,276,-38
8,Los Angeles Kings,1990,46,24,0,0.575,340,254,86
9,Minnesota North Stars,1990,27,39,0,0.338,256,266,-10
10,Montreal Canadiens,1990,39,30,0,0.487,273,249,24
11,New Jersey Devils,1990,32,33,0,0.4,272,264,8
12,New York Islanders,1990,25,45,0,0.312,223,290,-67
13,New York Rangers,1990,36,31,0,0.45,297,265,32
14,Philadelphia Flyers,1990,33,37,0,0.412,252,267,-15
15,Pittsburgh Penguins,1990,41,33,0,0.512,342,305,37
16,Quebec Nordiques,1990,16,50,0,0.2,236,354,-118
17,St. Louis Blues,1990,47,22,0,0.588,310,250,60
18,Toronto Maple Leafs,1990,23,46,0,0.287,241,318,-77
19,Vancouver Canucks,1990,28,43,0,0.35,243,315,-72
20,Washington Capitals,1990,37,36,0,0.463,258,258,0
21,Winnipeg Jets,1990,26,43,0,0.325,260,288,-28
22,Boston Bruins,1991,36,32,0,0.45,270,275,-5
23,Buffalo Sabres,1991,31,37,0,0.388,289,299,-10
24,Calgary Flames,1991,31,37,0,0.388,296,305,-9
25,Chicago Blackhawks,1991,36,29,0,0.45,257,236,21
26,Detroit Red Wings,1991,43,25,0,0.537,320,256,64
27,Edmonton Oilers,1991,36,34,0,0.45,295,297,-2
28,Hartford Whalers,1991,26,41,0,0.325,247,283,-36
29,Los Angeles Kings,1991,35,31,0,0.438,287,296,-9
30,Minnesota North Stars,1991,32,42,0,0.4,246,278,-32
31,Montreal Canadiens,1991,41,28,0,0.512,267,207,60
32,New Jersey Devils,1991,38,31,0,0.475,289,259,30
33,New York Islanders,1991,34,35,0,0.425,291,299,-8
34,New York Rangers,1991,50,25,0,0.625,321,246,75
35,Philadelphia Flyers,1991,32,37,0,0.4,252,273,-21
36,Pittsburgh Penguins,1991,39,32,0,0.487,343,308,35
37,Quebec Nordiques,1991,20,48,0,0.25,255,318,-63
38,San Jose Sharks,1991,17,58,0,0.212,219,359,-140
39,St. Louis Blues,1991,36,33,0,0.45,279,266,13
40,Toronto Maple Leafs,1991,30,43,0,0.375,234,294,-60
41,Vancouver Canucks,1991,42,26,0,0.525,285,250,35
42,Washington Capitals,1991,45,27,0,0.562,330,275,55
43,Winnipeg Jets,1991,33,32,0,0.412,251,244,7
44,Boston Bruins,1992,51,26,0,0.607,332,268,64
45,Buffalo Sabres,1992,38,36,0,0.452,335,297,38
46,Calgary Flames,1992,43,30,0,0.512,322,282,40
47,Chicago Blackhawks,1992,47,25,0,0.56,279,230,49
48,Detroit Red Wings,1992,47,28,0,0.56,369,280,89
49,Edmonton Oilers,1992,26,50,0,0.31,242,337,-95
50,Hartford Whalers,1992,26,52,0,0.31,284,369,-85
51,Los Angeles Kings,1992,39,35,0,0.464,338,340,-2
52,Minnesota North Stars,1992,36,38,0,0.429,272,293,-21
